City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Sur,OM,22.57,59.53,87.4,56,100,14.58,overcast clouds
85,Charleston,US,32.78,-79.93,84.99,79,20,11.41,thunderstorm
86,Hobart,AU,-42.88,147.33,53.6,93,75,8.05,moderate rain
87,Minab,IR,27.15,57.08,89.6,79,40,11.41,haze
88,Port Elizabeth,ZA,-33.92,25.57,48.2,76,40,24.16,scattered clouds
89,East London,ZA,-33.02,27.91,52.32,65,34,18.5,scattered clouds
90,Victoria,HK,22.29,114.16,84.0,74,100,5.99,overcast clouds
91,Igarka,RU,67.47,86.58,59.47,60,79,15.57,broken clouds
92,Merauke,ID,-8.47,140.33,79.09,70,100,9.82,overcast clouds
93,Fortuna,US,40.6,-124.16,88.0,27,0,1.99,clear sky
94,Mustafakemalpasa,TR,40.04,28.41,71.6,73,0,9.17,clear sky
95,San Pedro,PH,14.35,121.02,84.0,83,48,1.61,scattered clouds
96,Porto Walter,BR,-8.27,-72.74,79.2,70,0,3.18,clear sky
97,Marsa Matruh,EG,31.35,27.25,78.8,69,0,9.17,clear sky
98,Bredasdorp,ZA,-34.53,20.04,46.4,81,11,14.99,few clouds
99,Mahibadhoo,MV,3.78,72.97,83.03,66,100,0.96,overcast clouds
100,Oranjemund,NA,-28.55,16.43,52.47,84,22,9.66,few clouds
101,Quatre Cocos,MU,-20.21,57.76,72.0,77,20,11.41,few clouds
102,Dawson Creek,CA,55.77,-120.24,66.2,68,20,9.17,few clouds
103,Souillac,MU,-20.52,57.52,69.8,77,20,11.41,few clouds
104,Hofn,IS,64.25,-15.21,53.42,76,100,7.0,overcast clouds
105,Hermanus,ZA,-34.42,19.23,46.99,89,98,3.0,light rain
106,Luvianos,MX,18.92,-100.4,66.0,99,47,0.43,moderate rain
107,Kutum,SD,14.2,24.67,76.26,57,97,4.7,overcast clouds
108,Kamaishi,JP,39.27,141.88,80.6,69,75,3.36,broken clouds
109,Severo-Kurilsk,RU,50.68,156.12,54.36,79,100,5.08,overcast clouds
110,Pisco,PE,-13.7,-76.22,62.6,77,100,9.17,overcast clouds
111,Malanje,AO,-9.54,16.34,59.86,83,99,4.54,overcast clouds
112,Kyzyl,RU,51.7,94.45,64.45,65,100,7.07,overcast clouds
113,Tecoanapa,MX,16.52,-98.75,83.53,73,1,2.77,clear sky
114,Fare,PF,-16.7,-151.02,78.57,79,100,13.98,overcast clouds
115,Samarai,PG,-10.62,150.67,77.41,70,42,10.69,scattered clouds
116,Yellowknife,CA,62.46,-114.35,60.8,44,75,9.17,broken clouds
117,Oistins,BB,13.07,-59.53,82.4,83,40,10.29,scattered clouds
118,Esperance,AU,-33.87,121.9,55.4,100,90,18.34,overcast clouds
119,Whitehorse,CA,60.72,-135.05,51.8,93,90,2.24,light rain
120,Adjumani,UG,3.38,31.79,66.15,96,100,1.3,overcast clouds
121,Lagos,NG,6.58,3.75,77.0,94,40,4.7,scattered clouds
122,Geraldton,AU,-28.77,114.6,59.0,67,75,19.46,broken clouds
123,Vaitape,PF,-16.52,-151.75,79.3,77,92,14.27,overcast clouds
124,Nanortalik,GL,60.14,-45.24,42.67,76,22,9.86,few clouds
125,Prince George,CA,53.92,-122.75,77.0,77,75,4.7,broken clouds
126,Avera,US,33.19,-82.53,75.2,74,75,4.7,broken clouds
127,Umm Kaddadah,SD,13.6,26.69,77.76,72,100,15.77,light rain
128,Karratha,AU,-20.74,116.85,72.36,62,0,2.13,clear sky
129,Kununurra,AU,-15.77,128.73,82.4,17,34,3.36,scattered clouds
130,Cholet,FR,47.17,-1.0,64.0,93,100,3.36,light rain
131,Sorland,NO,67.67,12.69,51.26,72,100,21.47,overcast clouds
132,Port Alfred,ZA,-33.59,26.89,51.49,68,61,20.31,broken clouds
133,Faanui,PF,-16.48,-151.75,78.44,79,88,14.2,overcast clouds
134,Tazovskiy,RU,67.47,78.7,47.64,95,100,10.92,overcast clouds
135,Yonezawa,JP,37.92,140.12,75.0,97,46,4.92,light rain
136,Alta Floresta,BR,-9.88,-56.09,84.65,33,99,1.97,overcast clouds
137,Upernavik,GL,72.79,-56.15,41.18,75,30,14.54,scattered clouds
138,Carnarvon,AU,-24.87,113.63,66.2,68,0,16.11,clear sky
139,Pauini,BR,-7.71,-66.98,84.74,50,92,2.06,overcast clouds
140,Hamilton,US,39.18,-84.53,82.0,65,75,3.36,broken clouds
141,Vila Franca Do Campo,PT,37.72,-25.43,73.4,83,40,10.29,scattered clouds
142,Mangrol,IN,21.12,70.12,81.68,84,100,19.17,light rain
143,Vardo,NO,70.37,31.11,48.24,75,100,15.75,overcast clouds
144,Mar Del Plata,AR,-38.0,-57.56,45.0,48,0,20.8,clear sky
145,Craig,US,40.52,-107.55,87.8,8,1,9.37,clear sky
146,Port Hardy,CA,50.7,-127.42,73.4,60,40,5.82,scattered clouds
147,Kavieng,PG,-2.57,150.8,84.15,68,7,3.29,clear sky
148,Cortes,ES,41.94,-1.44,69.8,77,100,16.11,overcast clouds
149,Mount Pleasant,US,32.79,-79.86,84.2,88,90,6.93,overcast clouds
150,Kungurtug,RU,50.6,97.52,58.66,74,100,1.21,overcast clouds
151,Hobyo,SO,5.35,48.53,76.03,76,100,22.57,overcast clouds
152,Chokurdakh,RU,70.63,147.92,39.07,83,99,7.25,light rain
153,Northport,US,33.23,-87.58,89.6,55,40,4.7,scattered clouds
154,Heihe,CN,50.24,127.49,62.6,72,40,11.18,scattered clouds
155,Chuncheng,CN,22.17,111.79,84.99,73,57,3.36,light rain
156,Tiznit,MA,29.58,-9.5,71.42,25,0,0.47,clear sky
157,Portland,US,45.52,-122.68,102.0,25,20,10.29,few clouds
158,Awjilah,LY,29.11,21.29,76.98,41,0,7.02,clear sky
159,Barrow,US,71.29,-156.79,42.8,87,90,5.82,mist
160,Havre-Saint-Pierre,CA,50.23,-63.6,57.2,76,1,5.73,clear sky
161,Sokolo,ML,14.73,-6.12,80.02,76,99,15.28,light rain
162,Te Anau,NZ,-45.42,167.72,44.89,69,41,0.51,scattered clouds
163,The Valley,AI,18.22,-63.06,84.0,83,20,3.36,few clouds
164,Nikolskoye,RU,59.7,30.79,57.2,87,2,2.24,fog
165,Zyryanka,RU,65.75,150.85,51.53,55,66,10.71,broken clouds
166,Apatou,GF,5.16,-54.35,76.44,88,100,2.64,overcast clouds
167,Chuy,UY,-33.7,-53.46,47.3,62,0,10.76,clear sky
168,Sola,VU,-13.88,167.55,78.8,88,90,8.05,overcast clouds
169,Bristol,US,41.83,-71.17,66.99,87,84,1.99,broken clouds
170,Hambantota,LK,6.12,81.12,75.2,100,40,5.82,scattered clouds
171,Byron Bay,AU,-28.65,153.62,66.99,52,0,17.22,clear sky
172,Danielskuil,ZA,-28.19,23.54,36.86,95,39,10.67,scattered clouds
173,Komsomolskiy,UZ,40.43,71.72,73.4,40,0,6.93,clear sky
174,Arraial Do Cabo,BR,-22.97,-42.03,72.43,83,100,9.55,overcast clouds
175,Suez,EG,29.97,32.53,76.05,73,0,10.63,clear sky
176,Derzhavinsk,KZ,51.1,66.32,64.99,70,100,7.72,overcast clouds
177,Ecoporanga,BR,-18.37,-40.83,69.76,89,19,5.08,few clouds
178,Saryg-Sep,RU,51.5,95.6,58.17,78,100,1.45,overcast clouds
179,Vilhena,BR,-12.74,-60.15,76.75,34,84,2.17,broken clouds
180,Nizwa,OM,22.93,57.53,90.79,38,99,1.88,overcast clouds
181,Cherskiy,RU,68.75,161.3,55.45,45,100,4.99,overcast clouds
182,Camacha,PT,33.08,-16.33,71.6,68,20,9.17,few clouds
183,Nishihara,JP,26.18,127.76,87.8,70,75,8.05,haze
184,San Antonio,US,29.42,-98.49,102.2,25,1,11.41,clear sky
185,Dikson,RU,73.51,80.55,43.41,88,0,4.0,clear sky
186,Salalah,OM,17.02,54.09,77.0,100,90,6.93,heavy intensity drizzle
187,East Lake,US,28.11,-82.69,86.0,74,1,8.43,clear sky
188,Airai,TL,-8.93,125.41,74.41,37,32,4.29,scattered clouds
189,College,US,64.86,-147.8,70.0,49,75,4.7,shower rain
190,Oktyabrskoye,RU,43.06,44.74,60.8,72,23,4.47,few clouds
191,Acarau,BR,-2.89,-40.12,77.7,80,14,17.9,few clouds
192,Svetlyy,RU,54.67,20.13,57.2,93,40,4.47,mist
193,Chumikan,RU,54.72,135.31,54.68,95,100,20.69,moderate rain
194,Labuhan,ID,-6.88,112.21,80.74,77,1,6.13,clear sky
195,Chernyshevskiy,RU,63.01,112.47,53.47,54,18,6.06,few clouds
196,Norman Wells,CA,65.28,-126.83,62.6,72,75,9.17,broken clouds
197,Sabang,ID,5.89,95.32,82.54,78,1,9.73,clear sky
198,Callaguip,PH,18.07,120.49,82.4,83,75,2.24,broken clouds
199,Kidal,ML,18.44,1.41,91.31,40,0,14.29,clear sky
200,Sivaki,RU,52.63,126.75,55.42,93,100,12.33,overcast clouds
201,Isangel,VU,-19.55,169.27,75.2,64,90,13.87,overcast clouds
202,Tumut,AU,-35.3,148.22,48.31,88,100,6.82,overcast clouds
203,Laguna,US,38.42,-121.42,108.0,14,1,10.58,clear sky
204,Olafsvik,IS,64.89,-23.71,52.34,93,100,15.48,overcast clouds
205,Constitucion,CL,-35.33,-72.42,46.2,63,0,9.01,clear sky
206,Kon Tum,VN,14.35,108.0,75.72,85,100,1.16,overcast clouds
207,Warrington,GB,53.39,-2.58,62.6,82,75,12.75,broken clouds
208,Mantua,IT,45.17,10.78,72.0,79,76,4.0,light rain
209,Saskylakh,RU,71.92,114.08,56.28,51,6,9.53,clear sky
210,Kousseri,CM,12.08,15.03,80.6,78,40,6.93,scattered clouds
211,Limbach-Oberfrohna,DE,50.87,12.75,64.0,90,1,3.87,clear sky
212,Albanel,CA,48.88,-72.45,71.6,68,20,5.82,few clouds
213,Hithadhoo,MV,-0.6,73.08,83.07,70,39,3.78,scattered clouds
214,Aquiraz,BR,-3.9,-38.39,78.8,74,90,13.87,overcast clouds
215,Gizo,SB,-8.1,156.84,83.44,68,13,6.06,few clouds
216,Bhadrak,IN,21.06,86.51,79.29,85,87,15.52,overcast clouds
217,Chapais,CA,49.78,-74.85,71.6,53,1,9.17,clear sky
218,Saint-Pierre,RE,-21.34,55.48,66.2,59,95,5.82,overcast clouds
219,Mount Isa,AU,-20.73,139.5,71.6,22,0,9.17,clear sky
220,Port Augusta,AU,-32.5,137.77,53.6,93,34,0.58,scattered clouds
221,Kodiak,US,57.79,-152.41,75.2,31,1,10.29,clear sky
222,Lompoc,US,34.64,-120.46,82.99,50,1,11.41,clear sky
223,Okhotsk,RU,59.38,143.3,60.35,75,100,5.21,overcast clouds
224,Jumla,NP,29.27,82.18,63.43,69,72,1.81,broken clouds
225,Praia Da Vitoria,PT,38.73,-27.07,71.6,88,20,8.61,few clouds
