City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Chokurdakh,70.63,147.92,39.29,84,100,7.52,RU,2020-08-15 23:38:25
70,Rocha,-34.48,-54.33,44.73,63,0,9.37,UY,2020-08-15 23:33:26
71,Acari,-15.43,-74.62,60.62,66,88,5.3,PE,2020-08-15 23:38:26
72,Puerto Leguizamo,-0.19,-74.78,75.15,95,95,2.44,CO,2020-08-15 23:38:26
73,Vaini,-21.2,-175.2,73.4,64,40,11.41,TO,2020-08-15 23:37:30
74,Pangnirtung,66.15,-65.71,50.47,53,97,2.48,CA,2020-08-15 23:38:26
75,Atuona,-9.8,-139.03,78.24,73,15,14.07,PF,2020-08-15 23:38:26
76,Cabo San Lucas,22.89,-109.91,96.8,52,5,19.46,MX,2020-08-15 23:36:09
77,Hirara,24.8,125.28,84.2,83,40,3.36,JP,2020-08-15 23:38:26
78,Quatre Cocos,-20.21,57.76,71.01,77,40,18.34,MU,2020-08-15 23:38:26
79,Margate,51.38,1.39,70.0,94,74,1.01,GB,2020-08-15 23:38:26
80,Katsuura,35.13,140.3,91.0,84,3,9.17,JP,2020-08-15 23:38:26
81,Seoul,37.57,126.98,80.6,83,90,4.7,KR,2020-08-15 23:38:26
82,Bredasdorp,-34.53,20.04,46.4,81,21,12.75,ZA,2020-08-15 23:38:26
83,Ingham,42.6,-84.38,79.0,60,1,11.41,US,2020-08-15 23:38:26
84,Banda Aceh,5.56,95.32,79.86,80,72,6.6,ID,2020-08-15 23:35:23
85,Mae Hong Son,19.3,97.97,72.25,88,100,1.43,TH,2020-08-15 23:38:03
86,Bonito,-21.12,-56.48,79.03,57,81,11.63,BR,2020-08-15 23:38:27
87,Verkhoyansk,67.54,133.38,42.85,64,89,5.35,RU,2020-08-15 23:38:27
88,Mangai,-4.05,19.53,79.81,58,60,1.99,CD,2020-08-15 23:38:27
89,Yar-Sale,66.83,70.83,45.03,82,99,10.47,RU,2020-08-15 23:38:27
90,Sagara,34.68,138.2,93.0,62,20,3.36,JP,2020-08-15 23:38:27
91,La Tuque,47.43,-72.78,64.08,80,1,3.98,CA,2020-08-15 23:38:27
92,Narrabri,-30.32,149.78,50.0,93,90,4.7,AU,2020-08-15 23:38:27
93,Norman Wells,65.28,-126.83,60.8,77,75,5.82,CA,2020-08-15 23:37:58
94,Meadow Lake,34.8,-106.54,93.99,18,40,32.21,US,2020-08-15 23:38:27
95,Georgetown,5.41,100.34,80.6,94,20,3.36,MY,2020-08-15 23:38:27
96,Soni,-4.85,38.37,54.9,85,58,2.01,TZ,2020-08-15 23:38:27
97,Yanam,16.73,82.22,74.68,94,100,10.51,IN,2020-08-15 23:38:27
98,Arlit,18.74,7.39,87.12,45,90,8.75,NE,2020-08-15 23:38:27
99,Neftekamsk,56.09,54.27,51.28,95,99,10.33,RU,2020-08-15 23:38:27
